feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
copd,"Non-cancer illness code, self-reported | Array 2__copd",0,0.045,0.005,0,91,1.44,"Non-cancer illness code, self-reported | Array 2__copd >= 0.17",107072,(Cholelithiasis) OR (Gallbladder disease),0.701,2,55,,,
angina,"Non-cancer illness code, self-reported | Array 0__angina",0,0,0.017,0.001,94,1.3,"Non-cancer illness code, self-reported | Array 0__angina >= 0.50",53188,(Cholelithiasis) OR (Gallbladder disease),0.688,2,0,,,
hypothyroidism,"Non-cancer illness code, self-reported | Array 4__hypothyroidism",0,0,0.008,0.001,95,1.53,"Non-cancer illness code, self-reported | Array 4__hypothyroidism >= 0.29",54010,(Cholelithiasis) OR (Gallbladder disease),0.708,2,52,,,
rheumatoid,"Non-cancer illness code, self-reported | Array 2__rheumatoid",0,0.044,0.005,0,96,1.28,"Non-cancer illness code, self-reported | Array 2__rheumatoid >= 0.30",170473,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
failure,"Non-cancer illness code, self-reported | Array 4__failure",0,0.009,0.005,0.001,99,1,"Non-cancer illness code, self-reported | Array 4__failure < 0.63",161133,(Cholelithiasis) OR (Gallbladder disease),0.826,99,0,,,
allergic,"Non-cancer illness code, self-reported | Array 0__allergic",0,0.004,-0.007,0,103,1,"Non-cancer illness code, self-reported | Array 0__allergic < 0.22",163917,(Cholelithiasis) OR (Gallbladder disease),0.833,99,0,,,
Esophageal bleeding (varices/hemorrhage),Esophageal bleeding (varices/hemorrhage),0,0.001,0.013,0,111,2.34,8.90 <= Esophageal bleeding (varices/hemorrhage) < 14.00,19222,(Cholelithiasis) OR (Gallbladder disease),0.719,2,117,,,
osteoporosis,"Non-cancer illness code, self-reported | Array 6__osteoporosis",0,0.029,0.005,0.002,113,1,"Non-cancer illness code, self-reported | Array 6__osteoporosis < 0.50",113598,(Cholelithiasis) OR (Gallbladder disease),0.78,2,0,,,
Qualifications College or University degree A levels AS levels or equivalent Other professional qualifications eg nursing teaching,"Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",0,0.036,-0.005,0,115,1,"Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",146975,(Cholelithiasis) OR (Gallbladder disease),0.342,3,317,,,
Qualifications College or University degree A levels AS levels or equivalent O levels GCSEs or equivalent Other professional qualifications eg nursing teaching,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0,-0.017,0,115,1.01,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",146975,(Cholelithiasis) OR (Gallbladder disease),0.295,3,317,,,
Qualifications College or University degree A levels AS levels or equivalent O levels GCSEs or equivalent CSEs or equivalent Other professional qualifications eg nursing teaching,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|CSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0.006,-0.006,0,115,1,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|CSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",146987,(Cholelithiasis) OR (Gallbladder disease),0.283,3,317,,,
asthma,"Non-cancer illness code, self-reported | Array 3__asthma",0,0,0.01,0,117,1.57,"Non-cancer illness code, self-reported | Array 3__asthma >= 0.50",230577,(Cholelithiasis) OR (Gallbladder disease),0.508,2,209,,,
tissue problem,"Non-cancer illness code, self-reported | Array 5__tissue problem",0,0.022,0.005,0,132,1,"Non-cancer illness code, self-reported | Array 5__tissue problem < 0.21",94650,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
sclerosis,"Non-cancer illness code, self-reported | Array 0__sclerosis",0,0.004,0.007,0,136,1.53,"0.55 <= Non-cancer illness code, self-reported | Array 0__sclerosis < 0.79",207176,(Cholelithiasis) OR (Gallbladder disease),0.827,2,0,,,
Method of diagnosis when first had COVID-19 Confirmed by a positive rapid lateral flow test,Method of diagnosis when first had COVID-19_Confirmed by a positive rapid lateral flow test,0,0,-0.015,0.001,137,1.02,Method of diagnosis when first had COVID-19_Confirmed by a positive rapid lateral flow test < 0.50,220173,(Cholelithiasis) OR (Gallbladder disease),0.35,2,19,,,
heart arrhythmia,"Non-cancer illness code, self-reported | Array 2__heart arrhythmia",0,0.018,0.005,0,137,1.5,"Non-cancer illness code, self-reported | Array 2__heart arrhythmia >= 0.30",285443,(Cholelithiasis) OR (Gallbladder disease),0.938,2,60,,,
arrhythmia,"Non-cancer illness code, self-reported | Array 3__arrhythmia",0,0.009,0.006,0,137,1.68,"Non-cancer illness code, self-reported | Array 3__arrhythmia >= 0.30",285443,(Cholelithiasis) OR (Gallbladder disease),0.901,2,60,,,
Illnesses of mother 1 Lung cancer,Illnesses of mother_1_Lung cancer,0.001,0.002,0.007,0,139,1.2,Illnesses of mother_1_Lung cancer >= 0.50,57253,(Cholelithiasis) OR (Gallbladder disease),0.664,2,0,,,
Total protein,Total protein,0.002,0.222,0.003,0,165,1.35,#NAME?,157868,(Cholelithiasis) OR (Gallbladder disease),0.881,3,82,,,
medication liquid,Treatment/medication code | Array 0__liquid,0,0.02,0.005,0,166,1.47,0.28 <= Treatment/medication code | Array 0__liquid < 0.57,156989,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
urinary tract,"Non-cancer illness code, self-reported | Array 4__urinary tract",0,0.037,0.005,0,179,1,"Non-cancer illness code, self-reported | Array 4__urinary tract < 0.16",104252,(Cholelithiasis) OR (Gallbladder disease),0.907,2,221,,,
Job code at visit works maintenance,Job code at visit__works maintenance,0,0,-0.009,0,182,1,Job code at visit__works maintenance < 0.20,391112,(Cholelithiasis) OR (Gallbladder disease),0.472,99,0,,,
Job code at visit maintenance managers,Job code at visit__maintenance managers,0,0,-0.009,0,182,1,Job code at visit__maintenance managers < 0.20,391112,(Cholelithiasis) OR (Gallbladder disease),0.427,99,0,,,
Job code at visit maintenance,Job code at visit__maintenance,0,0,-0.009,0,182,1,Job code at visit__maintenance < 0.15,391112,(Cholelithiasis) OR (Gallbladder disease),0.452,99,0,,,
"dietary changes in the last 5 years Yes, because of illness","Major dietary changes in the last 5 years_Yes, because of illness",0.011,0,0.035,0.003,184,1.28,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50",227597,(Cholelithiasis) OR (Gallbladder disease),0.271,99,95,,,
"dietary changes in the last 5 years Yes, because of other reasons","Major dietary changes in the last 5 years_Yes, because of other reasons",0.002,0,0.009,0.01,184,1.05,"Major dietary changes in the last 5 years_Yes, because of other reasons >= 0.50",227597,(Cholelithiasis) OR (Gallbladder disease),0.271,99,95,,,
Mouth/teeth dental problems Mouth ulcers|Dentures,Mouth/teeth dental problems_Mouth ulcers|Dentures,0,0.027,0.005,0.001,185,1.14,Mouth/teeth dental problems_Mouth ulcers|Dentures >= 0.50,483510,(Cholelithiasis) OR (Gallbladder disease),0.35,2,99,,,
eye disease,"Non-cancer illness code, self-reported | Array 2__eye disease",0,0.013,0.006,0.001,192,1.5,"Non-cancer illness code, self-reported | Array 2__eye disease >= 0.24",708215,(Cholelithiasis) OR (Gallbladder disease),0.936,2,37,,,
Urea,Urea,0.026,0.468,-0.008,0.001,195,1.63,3.70 <= Urea < 12.00,211321,(Cholelithiasis) OR (Gallbladder disease),0.778,2,99,,,
neurological,"Non-cancer illness code, self-reported | Array 5__neurological",0,0.017,0.006,0,196,1,"Non-cancer illness code, self-reported | Array 5__neurological < 0.28",623911,(Cholelithiasis) OR (Gallbladder disease),0.822,99,5,,,
Job code at visit electricians electrical,Job code at visit__electricians electrical,0,0.038,-0.005,0,203,1,Job code at visit__electricians electrical < 0.23,726174,(Cholelithiasis) OR (Gallbladder disease),0.425,2,291,,,
Job code at visit vocational industrial,Job code at visit__vocational industrial,0,0.042,-0.005,0,235,1,Job code at visit__vocational industrial < 0.20,980867,(Cholelithiasis) OR (Gallbladder disease),0.33,3,5,,,
stroke,"Non-cancer illness code, self-reported | Array 0__stroke",0,0.018,0.005,0.001,239,1.15,"Non-cancer illness code, self-reported | Array 0__stroke >= 0.78",482980,(Cholelithiasis) OR (Gallbladder disease),0.614,2,162,,,
Weight change compared with 1 year ago Yes - gained weight,Weight change compared with 1 year ago_Yes - gained weight,0,0,0.015,0.01,240,1.07,Weight change compared with 1 year ago_Yes - gained weight >= 0.50,349481,(Cholelithiasis) OR (Gallbladder disease),0.56,2,0,,,
Acetate,Acetate,0.004,0.164,-0.012,0,244,1.25,0.18 <= Acetate < 0.20,386872,(Cholelithiasis) OR (Gallbladder disease),0.788,2,0,,,
Qualifications CSEs or equivalent,Qualifications_CSEs or equivalent,0,0.004,0.007,0,248,1.11,Qualifications_CSEs or equivalent >= 0.50,324330,(Cholelithiasis) OR (Gallbladder disease),0.189,99,14,,,
Qualifications A levels AS levels or equivalent CSEs or equivalent,Qualifications_A levels/AS levels or equivalent|CSEs or equivalent,0,0.049,0.005,0,249,1.57,Qualifications_A levels/AS levels or equivalent|CSEs or equivalent >= 0.50,328663,(Cholelithiasis) OR (Gallbladder disease),0.239,99,14,,,
Illnesses of mother 4 Stroke,Illnesses of mother_4_Stroke,0,0.035,0.005,0,253,1.56,Illnesses of mother_4_Stroke >= 0.50,479390,(Cholelithiasis) OR (Gallbladder disease),0.476,2,162,,,
medication preparations,Treatment/medication code | Array 0__preparations,0,0.017,-0.005,0,274,1,Treatment/medication code | Array 0__preparations < 0.22,407758,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
allergy hypersensitivity,"Non-cancer illness code, self-reported | Array 6__allergy hypersensitivity",0,0.004,0.007,0,283,1,"Non-cancer illness code, self-reported | Array 6__allergy hypersensitivity < 0.23",448672,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
ovarian,"Non-cancer illness code, self-reported | Array 2__ovarian",0,0.023,0.005,0,288,1.32,"Non-cancer illness code, self-reported | Array 2__ovarian >= 0.40",124049,(Cholelithiasis) OR (Gallbladder disease),0.648,2,219,,,
deep,"Non-cancer illness code, self-reported | Array 0__deep",0,0.012,0.006,0.001,293,1.15,"Non-cancer illness code, self-reported | Array 0__deep >= 0.19",408555,(Cholelithiasis) OR (Gallbladder disease),0.788,3,116,,,
Water intake,Water intake,0.014,0.023,-0.005,0.004,312,1.04,#NAME?,247916,(Cholelithiasis) OR (Gallbladder disease),0.816,2,222,,,
prostate,"Non-cancer illness code, self-reported | Array 0__prostate",0,0.003,-0.007,0,317,1,"Non-cancer illness code, self-reported | Array 0__prostate < 0.26",288981,(Cholelithiasis) OR (Gallbladder disease),0.668,2,62,,,
Weight change compared with 1 year ago Yes - lost weight,Weight change compared with 1 year ago_Yes - lost weight,0.017,0,0.02,0.002,320,1.15,Weight change compared with 1 year ago_Yes - lost weight >= 0.50,172287,(Cholelithiasis) OR (Gallbladder disease),0.614,2,0,,,
Weight change compared with 1 year ago No - weigh about the same,Weight change compared with 1 year ago_No - weigh about the same,0.007,0,-0.029,0.027,320,1.09,Weight change compared with 1 year ago_No - weigh about the same < 0.50,172287,(Cholelithiasis) OR (Gallbladder disease),0.609,2,0,,,
Arthropathy NOS,Arthropathy NOS,0.001,0.008,0.01,0,335,1.76,#NAME?,512774,(Cholelithiasis) OR (Gallbladder disease),0.952,2,59,,,
Other specified gastritis,Other specified gastritis,0.006,0,0.013,0.001,389,2.18,Other specified gastritis >= 7.00,34773,(Cholelithiasis) OR (Gallbladder disease),0.875,2,16,,,
Most recent bowel cancer screening Less than 1 year ago,Most recent bowel cancer screening_Less than 1 year ago,0,0.046,-0.005,0.001,398,1,Most recent bowel cancer screening_Less than 1 year ago < 0.50,250583,(Cholelithiasis) OR (Gallbladder disease),0.553,2,2,,,
(UC) ulcerative colitis genetic risk,(UC) ulcerative colitis genetic risk,0.002,0.108,0.003,0,416,1.29,1.80 <= (UC) ulcerative colitis genetic risk < 1.80,105788,(Cholelithiasis) OR (Gallbladder disease),0.233,2,42,,,
A09.9 - Gastroenteritis and colitis of unspecified origin,A09.9 - Gastroenteritis and colitis of unspecified origin,0.001,0,0.01,0.001,416,1.98,A09.9 - Gastroenteritis and colitis of unspecified origin >= 8.70,105788,(Cholelithiasis) OR (Gallbladder disease),0.556,2,42,,,
Mental health conditions ever diagnosed by a professional anxiety social,Mental health conditions ever diagnosed by a professional__anxiety social,0,0.027,0.006,0,436,1.53,0.16 <= Mental health conditions ever diagnosed by a professional__anxiety social < 0.22,1491943,(Cholelithiasis) OR (Gallbladder disease),0.21,99,44,,,
Low Protein,Low Protein_Yes,0,0,0.008,0.001,475,1.4,Low Protein_Yes >= 0.50,504061,(Cholelithiasis) OR (Gallbladder disease),0.447,99,275,,,
multiple,"Non-cancer illness code, self-reported | Array 0__multiple",0,0,0.008,0,483,1.53,"Non-cancer illness code, self-reported | Array 0__multiple >= 0.55",382230,(Cholelithiasis) OR (Gallbladder disease),0.494,2,271,,,
kidney,"Non-cancer illness code, self-reported | Array 4__kidney",0,0.003,0.007,0,495,1.5,"Non-cancer illness code, self-reported | Array 4__kidney >= 0.34",80225,(Cholelithiasis) OR (Gallbladder disease),0.508,2,0,,,
Qualifications College or University degree,Qualifications_College or University degree,0,0,-0.017,0.001,527,1.02,Qualifications_College or University degree < 0.50,646285,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
infarction,"Non-cancer illness code, self-reported | Array 0__infarction",0,0,0.014,0,554,1.26,"Non-cancer illness code, self-reported | Array 0__infarction >= 0.19",416458,(Cholelithiasis) OR (Gallbladder disease),0.739,2,3,,,
Had other major operations Yes - you will be asked about this later by an interviewer,Had other major operations_Yes - you will be asked about this later by an interviewer,0.003,0,0.022,0.018,559,1.08,Had other major operations_Yes - you will be asked about this later by an interviewer >= 0.50,87656,(Cholelithiasis) OR (Gallbladder disease),0.442,99,83,,,
Had major operations Yes - you will be asked about this later by an interviewer,Had major operations_Yes - you will be asked about this later by an interviewer,0,0.001,-0.008,0.007,559,1.01,Had major operations_Yes - you will be asked about this later by an interviewer < 0.50,87656,(Cholelithiasis) OR (Gallbladder disease),0.435,99,83,,,
pneumonia,"Non-cancer illness code, self-reported | Array 2__pneumonia",0,0.04,0.005,0,607,1.28,"Non-cancer illness code, self-reported | Array 2__pneumonia >= 0.50",555278,(Cholelithiasis) OR (Gallbladder disease),0.796,2,34,,,
Alcohol intake frequency. Daily or almost daily,Alcohol intake frequency._Daily or almost daily,0.058,0,-0.041,0.004,647,1.06,Alcohol intake frequency._Daily or almost daily < 0.50,734060,(Cholelithiasis) OR (Gallbladder disease),0.461,99,0,,,
venous,"Non-cancer illness code, self-reported | Array 2__venous",0,0.038,0.005,0,666,1.36,"Non-cancer illness code, self-reported | Array 2__venous >= 0.19",300057,(Cholelithiasis) OR (Gallbladder disease),0.813,2,0,,,
cervical,"Non-cancer illness code, self-reported | Array 3__cervical",0,0.01,0.006,0,719,1.45,"0.54 <= Non-cancer illness code, self-reported | Array 3__cervical < 0.64",754028,(Cholelithiasis) OR (Gallbladder disease),0.835,3,275,,,
medication product,Treatment/medication code | Array 0__product,0.001,0,-0.011,0,758,1.01,Treatment/medication code | Array 0__product < 0.15,1005958,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
(United Kingdom) Year immigrated to UK,(United Kingdom) Year immigrated to UK_None,0.002,0,0.013,0.027,774,1.01,(United Kingdom) Year immigrated to UK_None >= 0.50,1138385,(Cholelithiasis) OR (Gallbladder disease),0.305,99,0,,,
(United Kingdom) Year immigrated to UK Prefer not to answer,(United Kingdom) Year immigrated to UK_Prefer not to answer,0,0.045,-0.005,0.001,774,1,(United Kingdom) Year immigrated to UK_Prefer not to answer < 0.50,1138385,(Cholelithiasis) OR (Gallbladder disease),0.276,99,0,,,
(non-UK origin) Country of Birth caribbean,(non-UK origin) Country of Birth__caribbean,0,0,-0.01,0.001,821,1,(non-UK origin) Country of Birth__caribbean < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.337,4,77,,,
(non-UK origin) Country of Birth zimbabwe,(non-UK origin) Country of Birth__zimbabwe,0,0.015,-0.006,0,821,1,(non-UK origin) Country of Birth__zimbabwe < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.301,4,77,,,
(non-UK origin) Country of Birth yemen,(non-UK origin) Country of Birth__yemen,0,0.031,0.005,0,821,1,(non-UK origin) Country of Birth__yemen < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.257,4,77,,,
(non-UK origin) Country of Birth usa,(non-UK origin) Country of Birth__usa,0,0.003,-0.007,0,821,1,(non-UK origin) Country of Birth__usa < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.267,4,77,,,
(non-UK origin) Country of Birth sri lanka,(non-UK origin) Country of Birth__sri lanka,0,0.005,-0.006,0,821,1,(non-UK origin) Country of Birth__sri lanka < 0.29,733781,(Cholelithiasis) OR (Gallbladder disease),0.276,4,77,,,
(non-UK origin) Country of Birth sri,(non-UK origin) Country of Birth__sri,0,0.005,-0.006,0,821,1,(non-UK origin) Country of Birth__sri < 0.29,733781,(Cholelithiasis) OR (Gallbladder disease),0.262,4,77,,,
(non-UK origin) Country of Birth peru,(non-UK origin) Country of Birth__peru,0,0.016,0.006,0,821,1,(non-UK origin) Country of Birth__peru < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.258,4,77,,,
(non-UK origin) Country of Birth nigeria,(non-UK origin) Country of Birth__nigeria,0,0,-0.008,0,821,1,(non-UK origin) Country of Birth__nigeria < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.294,4,77,,,
(non-UK origin) Country of Birth lanka,(non-UK origin) Country of Birth__lanka,0,0.005,-0.006,0,821,1,(non-UK origin) Country of Birth__lanka < 0.29,733781,(Cholelithiasis) OR (Gallbladder disease),0.292,4,77,,,
(non-UK origin) Country of Birth ghana,(non-UK origin) Country of Birth__ghana,0,0.001,-0.007,0,821,1,(non-UK origin) Country of Birth__ghana < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.325,4,77,,,
(non-UK origin) Country of Birth australia,(non-UK origin) Country of Birth__australia,0,0.014,-0.006,0,821,1,(non-UK origin) Country of Birth__australia < 0.50,733781,(Cholelithiasis) OR (Gallbladder disease),0.25,4,77,,,
essential,"Non-cancer illness code, self-reported | Array 0__essential",0,0.013,0.006,0.001,886,1.36,"Non-cancer illness code, self-reported | Array 0__essential >= 0.68",985994,(Cholelithiasis) OR (Gallbladder disease),0.746,99,338,,,
urinary,"Non-cancer illness code, self-reported | Array 5__urinary",0,0.01,0.006,0,910,1,"Non-cancer illness code, self-reported | Array 5__urinary < 0.14",585565,(Cholelithiasis) OR (Gallbladder disease),0.631,2,37,,,
(AST) asthma genetic risk,(AST) asthma genetic risk,0.003,0.012,0.005,0.001,934,1.09,(AST) asthma genetic risk >= 1.60,493492,(Cholelithiasis) OR (Gallbladder disease),0.682,3,65,,,
(BMI) Body mass index (p21001),(BMI) Body mass index (p21001),0.012,0,0.044,0.001,960,1.72,(BMI) Body mass index (p21001) >= 3.80,273205,(Cholelithiasis) OR (Gallbladder disease),0.663,2,57,,,
Basophill count,Basophill count,0.002,0,0.005,0.003,1004,1.11,1.20 <= Basophill count < 5.50,654773,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
pulmonary,"Non-cancer illness code, self-reported | Array 2__pulmonary",0,0,0.011,0,1119,1.63,"0.22 <= Non-cancer illness code, self-reported | Array 2__pulmonary < 0.60",1159744,(Cholelithiasis) OR (Gallbladder disease),0.576,2,351,,,
Illnesses of siblings 3 Bowel cancer,Illnesses of siblings_3_Bowel cancer,0,0.001,0.008,0,1565,1.9,Illnesses of siblings_3_Bowel cancer >= 0.50,326516,(Cholelithiasis) OR (Gallbladder disease),0.635,2,46,,,
Illnesses of mother 2 Bowel cancer,Illnesses of mother_2_Bowel cancer,0,0.014,0.006,0,1565,1.3,Illnesses of mother_2_Bowel cancer >= 0.50,326516,(Cholelithiasis) OR (Gallbladder disease),0.648,2,46,,,
Illnesses of mother 1 Bowel cancer,Illnesses of mother_1_Bowel cancer,0,0.014,0.006,0,1565,1.15,Illnesses of mother_1_Bowel cancer >= 0.50,326516,(Cholelithiasis) OR (Gallbladder disease),0.542,2,46,,,
reaction,"Non-cancer illness code, self-reported | Array 3__reaction",0,0.021,0.005,0,1638,1.52,"0.18 <= Non-cancer illness code, self-reported | Array 3__reaction < 0.37",2123660,(Cholelithiasis) OR (Gallbladder disease),0.739,99,129,,,
"Average total household income before tax Greater than 100,000","Average total household income before tax_Greater than 100,000",0.004,0,-0.021,0,1990,1.01,"Average total household income before tax_Greater than 100,000 < 0.50",1488452,(Cholelithiasis) OR (Gallbladder disease),0.173,99,0,,,
problem,"Non-cancer illness code, self-reported | Array 5__problem",0,0,0.012,0.001,2237,1.69,"0.12 <= Non-cancer illness code, self-reported | Array 5__problem < 0.43",1324446,(Cholelithiasis) OR (Gallbladder disease),0.726,2,0,,,
Weight p21002,Weight (p21002),0.005,0,0.027,0,3257,1.19,0.18 <= Weight (p21002) < 0.23,1999898,(Cholelithiasis) OR (Gallbladder disease),0.488,2,148,,,
Job code at visit managers chartered,Job code at visit__managers chartered,0,0.034,-0.005,0.002,9085,1,Job code at visit__managers chartered < 0.22,4091867,(Cholelithiasis) OR (Gallbladder disease),0.492,2,253,,,
medication elleste,Treatment/medication code | Array 0__elleste,0,0.026,0.005,0,16476,1.59,0.19 <= Treatment/medication code | Array 0__elleste < 0.41,8889235,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
ABCG5,ABCG5,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ABCG8,ABCG8,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
C15orf48,C15orf48,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CA5B,CA5B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CA5B,CA5B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CENPS,CENPS,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FGD4,FGD4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FKBP8,FKBP8,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GPRC5B,GPRC5B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
IPO11,IPO11,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
KRTAP19-5,KRTAP19-5,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
LRRC8D,LRRC8D,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MEX3D,MEX3D,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NIT2,NIT2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NPIPB4,NPIPB4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PDE4B,PDE4B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
R3HDM4,R3HDM4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
RASIP1,RASIP1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
RPP40,RPP40,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SAMD10,SAMD10,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SAMSN1,SAMSN1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SGSM3,SGSM3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SIAH1,SIAH1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SMIM1,SMIM1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ST8SIA4,ST8SIA4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
HNF4A,HNF4A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
TTC39B,TTC39B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
TM4SF4,TM4SF4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SERPINA1,SERPINA1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SLC10A2,SLC10A2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ABCB4,ABCB4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MARCHF8,MARCHF8,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
HNF1A,HNF1A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CYP7A1,CYP7A1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SULT2A1,SULT2A1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SPTLC3,SPTLC3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
TRIB1,TRIB1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
LRBA,LRBA,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PNPLA3,PNPLA3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ATP8B1,ATP8B1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
DYNC2LI1,DYNC2LI1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
DAGLB,DAGLB,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CPS1,CPS1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FUT2,FUT2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SLC26A3,SLC26A3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
HNF1B,HNF1B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
LITAF,LITAF,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SHROOM3,SHROOM3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ADSL,ADSL,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
REEP3,REEP3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FUT3,FUT3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GDF6,GDF6,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ANO1,ANO1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
JMJD1C,JMJD1C,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SYNJ2,SYNJ2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SH3BP4,SH3BP4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GCKR,GCKR,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UBXN2B,UBXN2B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
STKLD1,STKLD1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
EMP1,EMP1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A1,UGT1A1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
BMAL1,BMAL1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
