Query,feature_name,cui,cui_def,KG_Hits,sim_score,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",C0002111,Allergy Specialty. ,0,0.368,0.0,0.0,0.0,0.003,0.007,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",1.51,350,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema >= 0.50",0.05,0.05,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Hayfever, allergic rhinitis or eczema",C0002111,Allergy Specialty. ,0,0.456,0.0,0.0,0.0,0.0,-0.009,0.003,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema",1.01,158765,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema < 0.50",-0.04,-0.04,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor None of the above",C0002111,Allergy Specialty. ,0,0.282,0.0,0.0,0.0,0.0,-0.012,0.034,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above",1.05,63561,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above < 0.50",-0.05,-0.05,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor infrequent",C0002111,Allergy Specialty. ,0,0.358,0.0,0.0,0.0,0.008,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_infrequent_",1.8,110,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_infrequent_ >= 0.50",0.04,0.04,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the lung|Emphysema/chronic bronchitis",C0002111,Allergy Specialty. ,0,0.318,0.0,0.0,0.0,0.047,0.005,0.001,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Emphysema/chronic bronchitis",1.0,189576,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Emphysema/chronic bronchitis < 0.50",0.09,0.09,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis",C0002111,Allergy Specialty. ,0,0.334,0.0,0.0,0.0,0.0,0.01,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis",1.3,1968,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis >= 0.50",0.1,0.1,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the lung|Asthma",C0002111,Allergy Specialty. ,0,0.371,0.0,0.0,0.0,0.009,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Asthma",1.85,95,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Asthma >= 0.50",0.08,0.08,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Asthma",C0002111,Allergy Specialty. ,0,0.321,0.0,0.0,0.0,0.006,0.006,0.001,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Asthma",1.48,326,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Asthma >= 0.50",0.03,0.03,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Asthma",C0002111,Allergy Specialty. ,0,0.391,0.0,0.0,0.0,0.0,0.01,0.002,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma",1.12,12201,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma >= 0.50",0.04,0.04,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Asthma|Hayfever, allergic rhinitis or eczema",C0002111,Allergy Specialty. ,0,0.431,0.0,0.0,0.0,0.01,0.006,0.002,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma|Hayfever, allergic rhinitis or eczema",1.08,9629,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma|Hayfever, allergic rhinitis or eczema >= 0.50",-0.0,-0.0,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)",C0002111,Allergy Specialty. ,0,0.302,0.0,0.0,0.0,0.0,0.011,0.001,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)",1.27,2924,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT) >= 0.50",-0.0,-0.0,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis",C0002111,Allergy Specialty. ,0,0.273,0.0,0.0,0.0,0.001,0.008,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis",1.0,189526,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis < 0.50",0.06,0.06,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C0002111,Allergy Specialty. ,0,0.283,0.0,0.0,0.0,0.013,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances",C0002111,Allergy Specialty. ,0,0.321,1.0,0.2,0.0,0.0,0.011,0.001,"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances",1.57,876,"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances >= 5.60",-0.07,-0.07,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
alpha 1-Antitrypsin Deficiency,Doctor diagnosed alpha-1 antitrypsin deficiency,C0221757,alpha 1-Antitrypsin Deficiency. Deficiency of the protease inhibitor ALPHA 1-ANTITRYPSIN that manifests primarily as PULMONARY EMPHYSEMA and LIVER CIRRHOSIS.,0,0.685,0.0,0.0,0.0,0.0,-0.016,0.005,Doctor diagnosed alpha-1 antitrypsin deficiency_No,1.03,148047,Doctor diagnosed alpha-1 antitrypsin deficiency_No < 0.50,0.04,0.04,2,283,1.81,(Cholelithiasis) OR (Gallbladder disease),5568,75025,10,0.426,-0.175,0.0,1.0
"Alzheimer disease, familial, type 3",(AD) alzheimer's disease genetic risk,C1843013,"Alzheimer disease, familial, type 3. Alzheimer's disease with an early onset (starts before the age of 65). It is caused by mutations in the PSEN1 gene.",0,0.664,0.0,0.0,0.011,0.001,-0.006,0.0,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,2,32,2.91,(Cholelithiasis) OR (Gallbladder disease),1089,75025,1,0.352,-1.143,0.0,0.0
Alzheimer's Disease,(AD) alzheimer's disease genetic risk,C0002395,"Alzheimer's Disease. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",0,0.675,0.0,0.0,0.011,0.001,-0.006,0.0,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),228240,75025,39,0.0,-3.569,0.0,1.0
AMD age related macular degeneration genetic risk,AMD age related macular degeneration genetic risk,,"Glycogen storage disease type II. An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)",0,0.415,0.0,0.0,0.006,0.006,0.006,0.0,(AMD) age-related macular degeneration genetic risk,1.22,207,-0.01 <= (AMD) age-related macular degeneration genetic risk < -0.01,0.11,0.16,2,23,0.12,(Cholelithiasis) OR (Gallbladder disease),2179,75025,1,0.065,-2.144,0.0,0.0
amitriptyline,medication amitriptyline,C0002600,"amitriptyline. Tricyclic antidepressant with anticholinergic and sedative properties. It appears to prevent the re-uptake of norepinephrine and serotonin at nerve terminals, thus potentiating the action of these neurotransmitters. Amitriptyline also appears to antagonize cholinergic and alpha-1 adrenergic responses to bioactive amines.",0,0.861,0.0,0.0,0.0,0.0,0.015,0.0,Treatment/medication code | Array 0__amitriptyline,1.3,4200,Treatment/medication code | Array 0__amitriptyline >= 0.68,0.09,0.09,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),10211,75025,4,0.0,-2.372,0.0,1.0
amlodipine,medication amlodipine,C0051696,amlodipine. A long-acting dihydropyridine calcium channel blocker. It is effective in the treatment of ANGINA PECTORIS and HYPERTENSION.,0,0.897,0.0,0.0,0.0,0.002,0.007,0.002,Treatment/medication code | Array 0__amlodipine,1.1,8883,Treatment/medication code | Array 0__amlodipine >= 0.50,0.06,0.06,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),6681,75025,2,0.0,-2.76,0.0,1.0
Anal and rectal conditions,Anal and rectal conditions,,"Anus. The lower opening of the digestive tract, lying in the cleft between the buttocks, through which fecal matter is extruded.",0,0.591,0.0,0.0,0.001,0.057,0.004,0.0,Anal and rectal conditions,1.43,1587,3.10 <= Anal and rectal conditions < 8.60,0.14,0.24,2,7,0.01,(Cholelithiasis) OR (Gallbladder disease),5511,75025,4,0.013,-1.482,0.0,1.0
anaphylactic,anaphylactic,,,0,1.0,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic < 0.37",-0.19,-0.19,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),12492,75025,14,0.011,-0.855,0.0,1.0
anaphylactic reaction,anaphylactic reaction,,"anaphylaxis. An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death.",0,0.805,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic reaction",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic reaction < 0.37",-0.18,-0.18,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),37006,75025,27,0.0,-1.475,0.0,1.0
Anaphylactic shock,anaphylactic reaction,C4316895,"Anaphylactic shock. Progression of anaphylaxis into systemic shock, which is characterized by significant reduction in tissue perfusion which leads to hypoxia and hypotension, and can lead to death if untreated.",0,0.57,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic reaction",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic reaction < 0.37",-0.18,-0.18,2,229,20.82,(Cholelithiasis) OR (Gallbladder disease),36832,75025,27,0.0,-1.468,0.0,2.0
Anaphylactic shock,anaphylaxis,C4316895,"Anaphylactic shock. Progression of anaphylaxis into systemic shock, which is characterized by significant reduction in tissue perfusion which leads to hypoxia and hypotension, and can lead to death if untreated.",0,0.582,0.0,0.0,0.0,0.004,0.007,0.001,"Non-cancer illness code, self-reported | Array 6__anaphylaxis",1.0,189566,"Non-cancer illness code, self-reported | Array 6__anaphylaxis < 0.23",-0.18,-0.18,2,229,20.82,(Cholelithiasis) OR (Gallbladder disease),36832,75025,27,0.0,-1.468,0.0,2.0
anaphylaxis,anaphylactic reaction,C0002792,"anaphylaxis. An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death.",0,0.805,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic reaction",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic reaction < 0.37",-0.18,-0.18,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),35690,75025,24,0.0,-1.592,0.0,2.0
anaphylaxis,anaphylaxis,C0002792,"anaphylaxis. An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death.",0,0.791,0.0,0.0,0.0,0.004,0.007,0.001,"Non-cancer illness code, self-reported | Array 6__anaphylaxis",1.0,189566,"Non-cancer illness code, self-reported | Array 6__anaphylaxis < 0.23",-0.18,-0.18,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),35690,75025,24,0.0,-1.592,0.0,2.0
Anastomosis - action,Z98.0 - Intestinal bypass and anastomosis status,C0677554,"Anastomosis - action. Surgical union or shunt between ducts, tubes or vessels. It may be end-to-end, end-to-side, side-to-end, or side-to-side.",0,0.42,1.0,0.2,0.001,0.129,0.01,0.0,Z98.0 - Intestinal bypass and anastomosis status,2.17,167,-33.00 <= Z98.0 - Intestinal bypass and anastomosis status < -11.00,0.07,0.07,99,45,inf,(Cholelithiasis) OR (Gallbladder disease),124965,75025,2209,1.0,3.124,0.0,1.0
Anatomical anastomosis,Z98.0 - Intestinal bypass and anastomosis status,C0500470,Anatomical anastomosis. ,0,0.372,1.0,0.2,0.001,0.129,0.01,0.0,Z98.0 - Intestinal bypass and anastomosis status,2.17,167,-33.00 <= Z98.0 - Intestinal bypass and anastomosis status < -11.00,0.07,0.07,99,156,inf,(Cholelithiasis) OR (Gallbladder disease),5420,75025,51,1.0,2.214,0.0,1.0
anatomic valve,valve,C1186983,anatomic valve. ,0,0.864,0.0,0.0,0.0,0.029,0.003,0.0,"Non-cancer illness code, self-reported | Array 2__valve",1.28,284,"Non-cancer illness code, self-reported | Array 2__valve >= 0.16",-0.02,0.03,2,233,1.46,(Cholelithiasis) OR (Gallbladder disease),7869,75025,7,0.01,-1.189,0.0,1.0
angina,angina,,"Angina Pectoris. The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.",0,0.688,0.0,0.0,0.0,0.0,0.017,0.001,"Non-cancer illness code, self-reported | Array 0__angina",1.3,5495,"Non-cancer illness code, self-reported | Array 0__angina >= 0.50",0.11,0.11,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),77048,75025,125,0.006,-0.322,0.0,1.0
Angina Pectoris,angina,C0002962,"Angina Pectoris. The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.",0,0.688,0.0,0.0,0.0,0.0,0.017,0.001,"Non-cancer illness code, self-reported | Array 0__angina",1.3,5495,"Non-cancer illness code, self-reported | Array 0__angina >= 0.50",0.11,0.11,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),53188,75025,94,0.097,-0.198,0.0,1.0
"Angina, Unstable",Unstable angina (intermediate coronary syndrome),C0002965,"Angina, Unstable. Precordial pain at rest, which may precede a MYOCARDIAL INFARCTION.",0,0.755,0.0,0.0,0.0,0.906,0.001,0.0,Unstable angina (intermediate coronary syndrome),1.9,174,10.00 <= Unstable angina (intermediate coronary syndrome) < 12.00,0.07,0.07,2,176,0.38,(Cholelithiasis) OR (Gallbladder disease),20804,75025,19,0.0,-1.151,0.0,1.0
Ankylosing spondylitis,(RA) rheumatoid arthritis genetic risk,C0038013,"Ankylosing spondylitis. A chronic inflammatory condition affecting the axial joints, such as the SACROILIAC JOINT and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterized by pain and stiffness of joints (ANKYLOSIS) with inflammation at tendon insertions.",0,0.422,1.0,0.3,0.004,0.002,0.006,0.0,(RA) rheumatoid arthritis genetic risk,1.66,205,(RA) rheumatoid arthritis genetic risk < -2.80,0.09,0.1,2,111,0.1,(Cholelithiasis) OR (Gallbladder disease),23346,75025,12,0.0,-1.98,0.0,2.0
